"Date","Match","Score","saison"
"05.12.2010","Bayer Leverkusen - FC Koln","3:2",2010
"05.12.2010","Nurnberg - Dortmund","0:2",2010
"04.12.2010","B. Monchengladbach - Hannover","1:2",2010
"04.12.2010","Eintracht Frankfurt - Mainz","2:1",2010
"04.12.2010","Freiburg - Hamburger SV","1:0",2010
"04.12.2010","Schalke - Bayern Munich","2:0",2010
"04.12.2010","Stuttgart - Hoffenheim","1:1",2010
"04.12.2010","Wolfsburg - Werder Bremen","0:0",2010
"03.12.2010","St. Pauli - Kaiserslautern","1:0",2010
"28.11.2010","FC Koln - Wolfsburg","1:1",2010
"28.11.2010","Werder Bremen - St. Pauli","3:0",2010
"27.11.2010","Bayern Munich - Eintracht Frankfurt","4:1",2010
"27.11.2010","Dortmund - B. Monchengladbach","4:1",2010
"27.11.2010","Hamburger SV - Stuttgart","4:2",2010
"27.11.2010","Hannover - Freiburg","3:0",2010
"27.11.2010","Hoffenheim - Bayer Leverkusen","2:2",2010
"27.11.2010","Kaiserslautern - Schalke","5:0",2010
"26.11.2010","Mainz - Nurnberg","3:0",2010
"21.11.2010","St. Pauli - Wolfsburg","1:1",2010
"21.11.2010","Stuttgart - FC Koln","0:1",2010
"20.11.2010","Bayer Leverkusen - Bayern Munich","1:1",2010
"20.11.2010","B. Monchengladbach - Mainz","2:3",2010
"20.11.2010","Eintracht Frankfurt - Hoffenheim","0:4",2010
"20.11.2010","Freiburg - Dortmund","1:2",2010
"20.11.2010","Hannover - Hamburger SV","3:2",2010
"20.11.2010","Nurnberg - Kaiserslautern","1:3",2010
"20.11.2010","Schalke - Werder Bremen","4:0",2010
"14.11.2010","Bayern Munich - Nurnberg","3:0",2010
"14.11.2010","Hoffenheim - Freiburg","0:1",2010
"13.11.2010","FC Koln - B. Monchengladbach","0:4",2010
"13.11.2010","Kaiserslautern - Stuttgart","3:3",2010
"13.11.2010","Mainz - Hannover","0:1",2010
"13.11.2010","St. Pauli - Bayer Leverkusen","0:1",2010
"13.11.2010","Werder Bremen - Eintracht Frankfurt","0:0",2010
"13.11.2010","Wolfsburg - Schalke","2:2",2010
"12.11.2010","Dortmund - Hamburger SV","2:0",2010
"07.11.2010","Bayer Leverkusen - Kaiserslautern","3:1",2010
"07.11.2010","Hannover - Dortmund","0:4",2010
"07.11.2010","Stuttgart - Werder Bremen","6:0",2010
"06.11.2010","B. Monchengladbach - Bayern Munich","3:3",2010
"06.11.2010","Eintracht Frankfurt - Wolfsburg","3:1",2010
"06.11.2010","Freiburg - Mainz","1:0",2010
"06.11.2010","Hamburger SV - Hoffenheim","2:1",2010
"06.11.2010","Nurnberg - FC Koln","3:1",2010
"05.11.2010","Schalke - St. Pauli","3:0",2010
"31.10.2010","Hoffenheim - Hannover","4:0",2010
"31.10.2010","Mainz - Dortmund","0:2",2010
"30.10.2010","FC Koln - Hamburger SV","3:2",2010
"30.10.2010","Kaiserslautern - B. Monchengladbach","3:0",2010
"30.10.2010","Schalke - Bayer Leverkusen","0:1",2010
"30.10.2010","St. Pauli - Eintracht Frankfurt","1:3",2010
"30.10.2010","Werder Bremen - Nurnberg","2:3",2010
"30.10.2010","Wolfsburg - Stuttgart","2:0",2010
"29.10.2010","Bayern Munich - Freiburg","4:2",2010
"24.10.2010","Bayer Leverkusen - Mainz","0:1",2010
"24.10.2010","Dortmund - Hoffenheim","1:1",2010
"24.10.2010","Stuttgart - St. Pauli","2:0",2010
"23.10.2010","B. Monchengladbach - Werder Bremen","1:4",2010
"23.10.2010","Eintracht Frankfurt - Schalke","0:0",2010
"23.10.2010","Freiburg - Kaiserslautern","2:1",2010
"23.10.2010","Hannover - FC Koln","2:1",2010
"23.10.2010","Nurnberg - Wolfsburg","2:1",2010
"22.10.2010","Hamburger SV - Bayern Munich","0:0",2010
"17.10.2010","Hoffenheim - B. Monchengladbach","3:2",2010
"17.10.2010","Kaiserslautern - Eintracht Frankfurt","0:3",2010
"16.10.2010","Bayern Munich - Hannover","3:0",2010
"16.10.2010","Mainz - Hamburger SV","0:1",2010
"16.10.2010","Schalke - Stuttgart","2:2",2010
"16.10.2010","St. Pauli - Nurnberg","3:2",2010
"16.10.2010","Werder Bremen - Freiburg","2:1",2010
"16.10.2010","Wolfsburg - Bayer Leverkusen","2:3",2010
"15.10.2010","FC Koln - Dortmund","1:2",2010
"03.10.2010","Bayer Leverkusen - Werder Bremen","2:2",2010
"03.10.2010","Dortmund - Bayern Munich","2:0",2010
"03.10.2010","Stuttgart - Eintracht Frankfurt","1:2",2010
"02.10.2010","B. Monchengladbach - Wolfsburg","1:1",2010
"02.10.2010","Freiburg - FC Koln","3:2",2010
"02.10.2010","Hamburger SV - Kaiserslautern","2:1",2010
"02.10.2010","Mainz - Hoffenheim","4:2",2010
"02.10.2010","Nurnberg - Schalke","2:1",2010
"01.10.2010","Hannover - St. Pauli","0:1",2010
"26.09.2010","Kaiserslautern - Hannover","0:1",2010
"26.09.2010","Wolfsburg - Freiburg","2:1",2010
"25.09.2010","Bayern Munich - Mainz","1:2",2010
"25.09.2010","Eintracht Frankfurt - Nurnberg","2:0",2010
"25.09.2010","Schalke - B. Monchengladbach","2:2",2010
"25.09.2010","St. Pauli - Dortmund","1:3",2010
"25.09.2010","Stuttgart - Bayer Leverkusen","1:4",2010
"25.09.2010","Werder Bremen - Hamburger SV","3:2",2010
"24.09.2010","FC Koln - Hoffenheim","1:1",2010
"22.09.2010","Bayer Leverkusen - Eintracht Frankfurt","2:1",2010
"22.09.2010","B. Monchengladbach - St. Pauli","1:2",2010
"22.09.2010","Dortmund - Kaiserslautern","5:0",2010
"22.09.2010","Freiburg - Schalke","1:2",2010
"22.09.2010","Hamburger SV - Wolfsburg","1:3",2010
"22.09.2010","Nurnberg - Stuttgart","2:1",2010
"21.09.2010","Hannover - Werder Bremen","4:1",2010
"21.09.2010","Hoffenheim - Bayern Munich","1:2",2010
"21.09.2010","Mainz - FC Koln","2:0",2010
"19.09.2010","Bayer Leverkusen - Nurnberg","0:0",2010
"19.09.2010","Schalke - Dortmund","1:3",2010
"19.09.2010","St. Pauli - Hamburger SV","1:1",2010
"18.09.2010","Bayern Munich - FC Koln","0:0",2010
"18.09.2010","Kaiserslautern - Hoffenheim","2:2",2010
"18.09.2010","Stuttgart - B. Monchengladbach","7:0",2010
"18.09.2010","Werder Bremen - Mainz","0:2",2010
"18.09.2010","Wolfsburg - Hannover","2:0",2010
"17.09.2010","Eintracht Frankfurt - Freiburg","0:1",2010
"12.09.2010","FC Koln - St. Pauli","1:0",2010
"12.09.2010","Mainz - Kaiserslautern","2:1",2010
"11.09.2010","Bayern Munich - Werder Bremen","0:0",2010
"11.09.2010","B. Monchengladbach - Eintracht Frankfurt","0:4",2010
"11.09.2010","Dortmund - Wolfsburg","2:0",2010
"11.09.2010","Freiburg - Stuttgart","2:1",2010
"11.09.2010","Hamburger SV - Nurnberg","1:1",2010
"11.09.2010","Hannover - Bayer Leverkusen","2:2",2010
"10.09.2010","Hoffenheim - Schalke","2:0",2010
"29.08.2010","Bayer Leverkusen - B. Monchengladbach","3:6",2010
